"Generation", "Position", "Fitness"
17, 3, 17.425365738918284
17, 4, 17.424879236180974
18, 0, 17.54435047087647
18, 1, 17.537363691235253
18, 2, 17.537363691235253
18, 3, 17.53562649504922
18, 4, 17.425102214054544
19, 0, 17.538531154815463
19, 1, 17.537363691235253
19, 2, 17.426586204431796
19, 3, 17.42460244205999
19, 4, 15.25430749753843
20, 0, 17.537363691235253
20, 1, 17.42661313489466
20, 2, 17.426586204431803
20, 3, 15.273317916894598
20, 4, 15.261945524933768
21, 0, 17.428085890474815
21, 1, 17.426586204431803
21, 2, 16.706495745510686
21, 3, 15.25183275121523
21, 4, 14.781203296595953
22, 0, 17.426586204431803
22, 1, 17.426101870147775
22, 2, 15.25183275121523
22, 3, 15.25183275121523
22, 4, 14.595717678904075
23, 0, 20.211023548531113
23, 1, 17.426624611655505
23, 2, 17.426101870147775
23, 3, 17.426101870147775
23, 4, 17.424629367890756
24, 0, 17.426101870147775
24, 1, 17.42460244205999
24, 2, 15.285977252008287
24, 3, 14.551743583628843
24, 4, 14.035388439614865
25, 0, 19.156078468567806
25, 1, 17.4265862044318
25, 2, 17.426101870147775
25, 3, 17.426101870147775
25, 4, 17.42464084267761
26, 0, 17.73787673370744
26, 1, 17.428085890474815
26, 2, 17.4265862044318
26, 3, 17.426187554948715
26, 4, 17.42464084267761
27, 0, 16.300549942173873
27, 1, 14.933455932218116
27, 2, 14.560186875439864
27, 3, 14.506628287780334
27, 4, 14.387055541687984
28, 0, 17.426187554948715
28, 1, 16.824259179154865
28, 2, 15.283878453081774
28, 3, 14.939985675732801
28, 4, 14.934977432979709
29, 0, 16.824259179154865
29, 1, 15.283878446615429
29, 2, 14.934643063204666
29, 3, 14.9339216078786
29, 4, 14.933471027674504
30, 0, 15.285107559184459
30, 1, 14.93485629244501
30, 2, 14.934709062240882
30, 3, 14.934643063204666
30, 4, 14.9339216078786
31, 0, 20.2155620630533
31, 1, 15.288114734064775
31, 2, 15.285107565651577
31, 3, 15.283876400083042
31, 4, 14.934869407277931
32, 0, 20.2155620630533
32, 1, 20.2155620630533
32, 2, 15.207581011261153
32, 3, 15.202358703235422
32, 4, 14.936164746361372
33, 0, 20.21700969335955
33, 1, 20.2155620630533
33, 2, 17.59156226479406
33, 3, 15.285107559184459
33, 4, 14.93680648583447
34, 0, 20.219056484656992
34, 1, 20.21556518950006
34, 2, 20.2155620630533
34, 3, 20.089203486928454
34, 4, 15.285107558857014
35, 0, 15.263206493324224
35, 1, 14.967360975857732
35, 2, 14.9364931597438
35, 3, 14.936177862926952
35, 4, 14.936177862926952
36, 0, 14.973460106364264
36, 1, 14.936177862926952
36, 2, 14.936177862926952
36, 3, 14.936177862926952
36, 4, 14.935138268436871
37, 0, 14.936177862926952
37, 1, 14.936177862926952
37, 2, 14.936175925070943
37, 3, 14.936052393156084
37, 4, 14.936052393156084
38, 0, 14.942299058675223
38, 1, 14.936189847454253
38, 2, 14.936177862926952
38, 3, 14.936177862926952
38, 4, 14.936177862926952
39, 0, 18.278527243148
39, 1, 14.936177862926952
39, 2, 14.936177862926952
39, 3, 14.936177862926952
39, 4, 14.936175925070943
40, 0, 18.278527243148
40, 1, 18.278527243148
40, 2, 14.936177862926952
40, 3, 14.936177862926952
40, 4, 14.936177862926952
41, 0, 18.278527243148
41, 1, 18.278527243148
41, 2, 18.278527243148
41, 3, 14.936177862926952
41, 4, 14.936177862926952
42, 0, 18.278527243148
42, 1, 18.276918678443884
42, 2, 14.936182052403959
42, 3, 14.936182052403959
42, 4, 14.936182052403959
43, 0, 18.278527243148
43, 1, 15.059719019096866
43, 2, 14.936182052403959
43, 3, 14.936182052403959
43, 4, 14.936182052403959
44, 0, 18.278527243148
44, 1, 14.936182361424683
44, 2, 14.936182052403959
44, 3, 14.936179845743489
44, 4, 14.936177862926952
45, 0, 18.278527243148
45, 1, 14.936179845743489
45, 2, 14.936179845743489
45, 3, 14.936179845743489
45, 4, 14.936177862926952
46, 0, 20.223264077477907
46, 1, 18.278527243148
46, 2, 18.278527243148
46, 3, 18.276915560146392
46, 4, 18.272984138344654
47, 0, 20.223476772303695
47, 1, 18.278702347832446
47, 2, 18.278702347832446
47, 3, 18.278527243148
47, 4, 16.272536771852447
48, 0, 20.224285043502302
48, 1, 20.216797029085487
48, 2, 18.278702347832446
48, 3, 18.278702347832446
48, 4, 18.278673412108486
49, 0, 15.757705201706935
49, 1, 14.939881602075317
49, 2, 14.937456036644841
49, 3, 14.933210242656925
49, 4, 14.030328721627253
50, 0, 18.278855052189623
50, 1, 16.298989297077974
50, 2, 14.939881602075317
50, 3, 14.936177862926952
50, 4, 14.935278457592027
51, 0, 18.278855052189623
51, 1, 16.30777904775355
51, 2, 16.298989297077974
51, 3, 16.298989297077974
51, 4, 15.37608074548264
52, 0, 17.496856622503998
52, 1, 16.30777904775355
52, 2, 16.30777904775355
52, 3, 16.298989297077974
