"Fitness", "Individual", "Variable", "Value"
1.344539878864002, 26, Population, 0.08863455566600476
1.344539878864002, 26, Renovation Cycle, 0.931667739900962
1.344539878864002, 26, Energy Intensity, 0.3789321918547045
1.344539878864002, 26, Typesplit and Splitshare, 0.8565619723068945
1.344539878864002, 26, Dwelling, 0.6620220658554519
1.3174486332123219, 27, Population, 0.17810162559132137
1.3174486332123219, 27, Renovation Cycle, 0.5637702680771374
1.3174486332123219, 27, Energy Intensity, 0.9054658609688452
1.3174486332123219, 27, Typesplit and Splitshare, 0.8850962075509602
1.3174486332123219, 27, Dwelling, 0.7251674290261758
1.296712539916665, 28, Population, 0.6188614416730717
1.296712539916665, 28, Renovation Cycle, 0.35983181891485494
1.296712539916665, 28, Energy Intensity, 0.23217133832777048
1.296712539916665, 28, Typesplit and Splitshare, 0.9629696483147491
1.296712539916665, 28, Dwelling, 0.6044020294218434
1.2897955944857595, 29, Population, 0.36877729428604056
1.2897955944857595, 29, Renovation Cycle, 0.9311046620153012
1.2897955944857595, 29, Energy Intensity, 0.333118546210345
1.2897955944857595, 29, Typesplit and Splitshare, 0.9136436102435184
1.2897955944857595, 29, Dwelling, 0.8310052076379334
1.2774276326329965, 30, Population, 0.2627551922808967
1.2774276326329965, 30, Renovation Cycle, 0.4008183252635569
1.2774276326329965, 30, Energy Intensity, 0.557471424942049
1.2774276326329965, 30, Typesplit and Splitshare, 0.8938941577228083
1.2774276326329965, 30, Dwelling, 0.13540695604165542
1.2717450627890898, 31, Population, 0.12051750708749953
1.2717450627890898, 31, Renovation Cycle, 0.8690860667319611
1.2717450627890898, 31, Energy Intensity, 0.8058803929305368
1.2717450627890898, 31, Typesplit and Splitshare, 0.8763217973701104
1.2717450627890898, 31, Dwelling, 0.037110335993057686
1.2223053180350574, 32, Population, 0.14859855204290462
1.2223053180350574, 32, Renovation Cycle, 0.7253542008633519
1.2223053180350574, 32, Energy Intensity, 0.6881005522631946
1.2223053180350574, 32, Typesplit and Splitshare, 0.8649587405747478
1.2223053180350574, 32, Dwelling, 0.8204182140122619
1.205995147879825, 33, Population, 0.264978937995612
1.205995147879825, 33, Renovation Cycle, 0.7607353615993155
1.205995147879825, 33, Energy Intensity, 0.49001811708182064
1.205995147879825, 33, Typesplit and Splitshare, 0.8845497813298492
1.205995147879825, 33, Dwelling, 0.8636887150241586
1.184085974640744, 34, Population, 0.45520442037073916
1.184085974640744, 34, Renovation Cycle, 0.6932099654125287
1.184085974640744, 34, Energy Intensity, 0.2010225646723448
1.184085974640744, 34, Typesplit and Splitshare, 0.931295506708876
1.184085974640744, 34, Dwelling, 0.9941625287749959
1.1368766829132855, 35, Population, 0.18690647216104228
1.1368766829132855, 35, Renovation Cycle, 0.26782717401337697
1.1368766829132855, 35, Energy Intensity, 0.7772058460792968
1.1368766829132855, 35, Typesplit and Splitshare, 0.850121946581748
1.1368766829132855, 35, Dwelling, 0.5735839924554014
1.0972019374218813, 36, Population, 0.5451701376277832
1.0972019374218813, 36, Renovation Cycle, 0.2797624392684428
1.0972019374218813, 36, Energy Intensity, 0.7639558028311133
1.0972019374218813, 36, Typesplit and Splitshare, 0.9529917532539467
1.0972019374218813, 36, Dwelling, 0.6561457158718268
1.091003506619191, 37, Population, 0.6258619569155849
1.091003506619191, 37, Renovation Cycle, 0.4031315580133742
1.091003506619191, 37, Energy Intensity, 0.8680942269274661
1.091003506619191, 37, Typesplit and Splitshare, 0.9697319740773584
1.091003506619191, 37, Dwelling, 0.07785479846748622
1.0542093293221113, 38, Population, 0.38592059940370027
1.0542093293221113, 38, Renovation Cycle, 0.6501472670892497
1.0542093293221113, 38, Energy Intensity, 0.11587002319806039
1.0542093293221113, 38, Typesplit and Splitshare, 0.9063474570624973
1.0542093293221113, 38, Dwelling, 0.12000769303688508
1.0323478960398296, 39, Population, 0.07841900691026293
1.0323478960398296, 39, Renovation Cycle, 0.15498624262127292
1.0323478960398296, 39, Energy Intensity, 0.7845485698433122
1.0323478960398296, 39, Typesplit and Splitshare, 0.8496539703102095
1.0323478960398296, 39, Dwelling, 0.6941714524202623
1.0042922850311915, 40, Population, 0.8890915721351007
1.0042922850311915, 40, Renovation Cycle, 0.5798042784202017
1.0042922850311915, 40, Energy Intensity, 0.024428525059264294
1.0042922850311915, 40, Typesplit and Splitshare, 0.977653244281852
1.0042922850311915, 40, Dwelling, 0.11686049938804943
0.9851146746702375, 41, Population, 0.46730104927331206
0.9851146746702375, 41, Renovation Cycle, 0.6989768696844342
0.9851146746702375, 41, Energy Intensity, 0.7519323426026726
0.9851146746702375, 41, Typesplit and Splitshare, 0.9351799258851343
